Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Item_Visibility_MeanRatio,Outlet_Years,Outlet,Item_Fat_Content_Low Fat,Item_Fat_Content_Non-Edible,Item_Fat_Content_Regular,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Category_Drink,Item_Category_Food,Item_Category_Non-consumable
FDL50,12.15,0.042277867000000004,126.5046,OUT013,373.5138,0.9980787902561443,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDM39,6.42,0.08949892599999999,178.1002,OUT010,358.2004,1.464116667660315,15,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
NCP05,19.6,0.018756953777777776,153.3024,OUT045,2428.8384,1.0,11,7,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDV49,10.0,0.025879577,265.2226,OUT045,5815.0972,0.9241603460120508,11,7,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDL12,15.85,0.121632721,60.622,OUT046,2576.646,0.8747287915078714,16,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDS02,12.792854228644991,0.25539489600000004,196.8794,OUT019,780.3176,2.0308877247907904,28,4,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
NCL17,7.39,0.067779712,143.8812,OUT046,3134.5864,0.8747287887220742,16,8,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDM40,10.195,0.159803853,141.5154,OUT013,850.8924,1.0365304276483922,26,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDR13,9.895,0.028696932,117.0492,OUT013,810.9444,0.8740008759338731,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDA43,10.895,0.065041581,196.3794,OUT017,3121.2704,0.8796766099576357,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCP18,12.15,0.028760012999999997,151.4708,OUT017,4815.0656,0.9275067647960544,6,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDK21,7.905,0.010053105,249.0408,OUT018,6258.52,0.9334195624341675,4,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCX54,9.195,0.048157338,106.1622,OUT045,2117.244,0.9315179298292239,11,7,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
DRK35,8.365,0.071958197,38.0506,OUT049,796.9626,0.8760887617519185,14,9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDY21,15.1,0.17348130399999998,194.511,OUT046,4910.275,1.1416630232284466,16,8,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDI26,12.792854228644991,0.061082177,180.0344,OUT019,892.172,1.61481058875214,28,4,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDM20,10.0,0.0364918673,246.9144,OUT018,3185.1872,1.0,4,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDV27,7.97,0.040071131,87.3514,OUT045,1062.6168,0.8503936434710149,11,7,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDF09,12.792854228644991,0.012090074,38.2848,OUT027,484.7024,0.9251308536486637,28,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDY40,12.792854228644991,0.15028599,51.0692,OUT019,147.8076,1.8569920498948196,28,4,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
FDY45,12.792854228644991,0.026015518999999997,255.8356,OUT027,2543.356,1.1658562566726927,28,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDC46,17.7,0.195068226,185.4266,OUT010,184.4266,1.5560143953260468,15,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
FDH19,19.35,0.033082215,172.5738,OUT035,4865.6664,0.9221155127052099,9,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDZ03,13.65,0.078946455,186.024,OUT045,1118.5439999999999,1.044138187445984,11,7,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
DRH37,17.6,0.041700756,164.8526,OUT045,2302.3364,0.8765027640696678,11,7,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
NCI17,8.645,0.14342264300000002,95.84100000000001,OUT046,2027.361,1.0277767942566969,16,8,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDJ58,15.6,0.10529607199999999,170.1764,OUT046,3435.528,0.8747287875118142,16,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDL12,15.85,0.121531501,59.222,OUT013,599.22,0.8740008619873568,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDH35,18.25,0.05810121044444445,164.7526,OUT045,4604.6728,1.0,11,7,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDG02,7.855,0.011324862,189.6188,OUT017,2285.0256,0.9275067286121007,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCZ18,7.825,0.186357148,254.3698,OUT049,5580.7356,1.029857103248895,14,9,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDC29,8.39,0.024205661,114.0176,OUT046,2290.3520000000003,0.9990697616442725,16,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDQ10,12.85,0.033230816,172.3422,OUT049,1207.0954,0.9237238339071363,14,9,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDN48,12.792854228644991,0.113720344,89.9804,OUT019,643.1628,1.5315372016230429,28,4,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDL04,19.0,0.11255650699999999,104.9622,OUT017,1587.933,0.9275067671896534,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDV25,5.905,0.04441604033333333,222.5456,OUT045,5305.0944,1.0,11,7,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDD58,7.76,0.05935224099999999,101.87,OUT046,1697.79,0.8747287866525946,16,8,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDN04,11.8,0.014087057,180.3344,OUT046,1427.4752,1.1416114694007558,16,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDV45,16.75,0.045230944,187.9556,OUT018,4693.89,0.9260469457443702,4,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCL18,12.792854228644991,0.293417759,194.6136,OUT019,583.2408,1.6148105893820424,28,4,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
FDR12,12.792854228644991,0.031382044,171.3764,OUT027,3091.9752,0.8704928746102873,28,5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDG20,15.5,0.12639886,177.0028,OUT017,2479.4392,0.9348909885210056,6,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDZ55,6.055,0.025403897999999998,160.99200000000002,OUT035,2716.4640000000004,0.9988808402357965,9,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDQ49,12.792854228644991,0.039057677,155.963,OUT027,3285.723,0.9541219242227013,28,5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDN33,6.305,0.123115764,95.6436,OUT046,661.8052,0.9990697475981462,16,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDN27,20.85,0.039624006,117.2808,OUT049,1523.3504,1.163307491313076,14,9,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDW20,20.75,0.040421193,122.17299999999999,OUT010,369.519,1.7352530512933784,15,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
DRG27,8.895,0.10527411099999999,39.9138,OUT049,690.4346,1.029670894287246,14,9,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
DRI25,19.6,0.033970195,55.1614,OUT045,1381.535,0.9315179184271948,11,7,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
FDA44,19.7,0.053212652,57.893,OUT035,622.523,0.9294568248579793,9,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCR17,9.8,0.024378706,114.5492,OUT035,1274.3412,0.9988808191929445,9,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDU04,12.792854228644991,0.009714595,120.0414,OUT019,487.3656,2.03215612351227,28,4,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDF41,12.15,0.131383762,246.046,OUT049,1231.73,0.8760887632599259,14,9,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDB56,8.75,0.07461309,187.4556,OUT035,3755.112,1.1406381675043848,9,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
NCP18,12.792854228644991,0.028459761,149.9708,OUT027,4363.6532,0.9178236759482314,28,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDB56,8.75,0.07462720099999999,187.8556,OUT046,1314.2892,1.1408538876304597,16,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDT28,13.3,0.063695084,151.0708,OUT045,1805.6496,0.9241603474535889,11,7,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDD10,12.792854228644991,0.045797829000000005,178.5344,OUT027,2854.9504,1.031674956283392,28,5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDW57,8.31,0.11585722300000001,179.1028,OUT049,3896.2616,1.1434172322184795,14,9,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
DRB48,16.75,0.024832806000000002,38.7822,OUT013,667.7974,1.0358550701475788,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDP09,19.75,0.034027909,212.0902,OUT018,3185.853,0.878292065399008,4,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDH14,17.1,0.046769599999999995,141.1838,OUT013,2247.7408,0.8740008565954392,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDA47,10.5,0.11657670199999999,163.121,OUT013,1794.3310000000001,1.0269770126654036,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDG12,6.635,0.004924115333333334,121.3098,OUT045,2530.7058,1.0,11,7,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
DRE60,12.792854228644991,0.278974075,225.372,OUT019,679.1160000000001,1.6148105888188795,28,4,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
DRK49,14.15,0.035913805,41.4138,OUT013,812.2760000000001,1.0320655400408245,26,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDD03,13.3,0.079806266,232.53,OUT046,699.09,0.9990697472460142,16,8,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDS52,8.89,0.005505481,102.4016,OUT017,2732.4432,0.8796765744587313,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDW39,12.792854228644991,0.064625342,176.937,OUT019,176.437,2.2590030521565168,28,4,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
FDX34,12.792854228644991,0.071636937,121.7098,OUT027,4097.3332,0.9942317071612333,28,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDV11,9.1,0.078393078375,173.2054,OUT045,3151.8972,1.0,11,7,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDD17,7.5,0.032677677999999995,239.0906,OUT049,5942.265,0.9600513321983414,14,9,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDZ16,16.85,0.160760054,192.4478,OUT017,4843.695,0.9643770890741937,6,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDZ46,7.485,0.06911065,109.0228,OUT035,2542.0244,0.9988808423019978,9,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DRA12,11.6,0.041177505,140.3154,OUT017,2552.6772,1.178594921346777,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
FDY58,11.65,0.040081193,227.0694,OUT018,1141.847,0.8782920723575603,4,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCF19,13.0,0.035307322,47.5034,OUT017,680.4476,0.8796766231887589,6,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
DRJ13,12.65,0.063017847,159.0578,OUT045,2085.9514,0.9315179229166382,11,7,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
FDB14,20.25,0.171938781,92.512,OUT010,186.424,1.7289048798428783,15,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
FDJ38,8.6,0.040197932,190.153,OUT035,3036.048,1.0268322866030557,9,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDW11,12.6,0.049058014000000004,62.7194,OUT017,866.8716,0.9348909916042781,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDL40,17.7,0.01161096,95.041,OUT035,868.8689999999999,1.1524417273242413,9,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DRI49,14.15,0.183507295,82.4276,OUT046,1137.1864,0.9990697492376226,16,8,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDV38,19.25,0.102349519,52.7956,OUT017,928.1252,0.8796766148142436,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DRG23,8.88,0.08670898699999999,151.7682,OUT013,762.341,1.0363413496738674,26,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
NCP30,20.5,0.032835147,40.2822,OUT045,707.0796,1.0010958955480702,11,7,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDY25,12.792854228644991,0.033809913,180.5976,OUT027,7968.2944,1.1363659495637664,28,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
NCH54,13.5,0.07266912,160.292,OUT046,1438.128,0.862651744964282,16,8,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
NCR53,12.792854228644991,0.144338493,224.4404,OUT027,6976.2524,0.954309088738357,28,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDS52,8.89,0.009163216,101.7016,OUT010,101.2016,1.464116661542459,15,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
FDG02,7.855,0.011307038,188.5188,OUT018,952.0939999999999,0.926046942176665,4,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCO26,7.235,0.076855628,116.0492,OUT046,1969.4364,0.9296326048503732,16,8,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDH35,12.792854228644991,0.059956876,165.4526,OUT027,5262.4832,1.0319385007878608,28,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDB51,6.92,0.038532062,60.5852,OUT045,1314.2892,1.001095885421211,11,7,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDX44,9.3,0.043209581,90.8172,OUT017,535.3032,0.9275067689403469,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCN07,18.5,0.056816465,132.1284,OUT010,263.6568,1.4641166640747971,15,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
NCC31,8.02,0.019866705,154.5972,OUT035,1402.1748,0.9583206892729483,9,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
NCX54,9.195,0.048331717,105.1622,OUT017,1693.7952,0.9348909809950855,6,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
NCO55,12.8,0.091221855,105.5938,OUT045,2143.876,0.8765027636722214,11,7,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
NCC30,16.6,0.027622076000000002,177.6344,OUT049,2676.5159999999996,0.9310779320436928,14,9,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDI16,14.0,0.14164533829999998,53.06399999999999,OUT035,905.488,1.0,9,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDP16,18.6,0.039355947,246.3802,OUT049,7370.406,0.9310779430846443,14,9,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDB11,16.0,0.060836524,226.8404,OUT035,6301.1312,0.9294568219899721,9,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCB06,17.6,0.082316506,160.692,OUT035,1597.92,0.929456818503636,9,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDA45,21.25,0.155350299,178.237,OUT035,529.311,1.1423485111787088,9,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCO26,7.235,0.076841095,117.5492,OUT035,1969.4364,0.9294568161541141,9,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
DRJ25,14.6,0.151419185,50.3692,OUT017,1034.6532,0.9348909874937066,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
FDR28,13.85,0.026001976,161.52100000000002,OUT018,1794.3310000000001,0.9334195337935713,4,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
FDI04,13.65,0.073209447,197.6426,OUT018,2768.3964,0.8782920695301611,4,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
DRK12,12.792854228644991,0.041683481,31.29,OUT027,898.83,1.118510677614236,28,5,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDX20,7.365,0.042560252,226.172,OUT046,3169.208,0.9222899096810624,16,8,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
NCI18,18.35,0.014081156000000001,223.5746,OUT018,3589.9936,1.0031395315671328,4,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDB36,5.465,0.030340533875000006,132.5626,OUT018,262.3252,1.0,4,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
FDN13,18.6,0.152918384,99.8358,OUT017,1910.1802,0.9275067616421127,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DRD24,13.85,0.030969273999999998,140.9154,OUT017,1701.7848,0.8796766065967719,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
FDQ28,14.0,0.06037677599999999,154.5656,OUT013,2471.4496,0.9581548452467621,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDM22,14.0,0.04192285,54.763999999999996,OUT013,1331.6,0.9577807072177706,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDR07,12.792854228644991,0.077367431,97.0094,OUT027,1808.9786,0.8704928811879857,28,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDV25,5.905,0.045838211,222.5456,OUT018,3315.684,1.032019303296592,4,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
DRF49,7.27,0.071077939,114.2518,OUT046,2618.5914,0.9222899205805942,16,8,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDW51,6.155,0.09465987099999999,214.55599999999998,OUT046,2769.728,0.9296326010221122,16,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
DRL01,19.5,0.077608838,233.4958,OUT017,5375.0034,0.9640005180117761,6,2,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
FDP25,15.2,0.021327477,216.8824,OUT017,2838.9712,0.8796766086282274,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDL50,12.15,0.042485444000000004,125.0046,OUT018,1743.0644,1.0029791841441567,4,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
NCB30,12.792854228644991,0.025578526,198.8084,OUT027,5555.4352,0.8588781859041476,28,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDW11,12.6,0.048980800000000005,61.9194,OUT018,619.194,0.9334195363385649,4,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCM43,14.5,0.019471688,164.821,OUT035,2120.573,0.8745633861423519,9,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDK44,16.6,0.122918852,173.0738,OUT017,3823.0236,1.0334068463863535,6,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDM15,11.8,0.057373797000000004,151.4366,OUT013,1360.2294,1.0269215074287217,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDS31,13.1,0.044155597000000005,178.8318,OUT013,3969.4996,1.2835635625069757,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
